lead_source,industry,number_of_courses_viewed,annual_income,employment_status,location,interaction_count,lead_score,converted
paid_ads,NA,1,79450.0,unemployed,south_america,4,0.94,1
social_media,retail,1,46992.0,employed,south_america,1,0.8,0
events,healthcare,5,78796.0,unemployed,australia,3,0.69,1
paid_ads,retail,2,83843.0,NA,australia,1,0.87,0
referral,education,3,85012.0,self_employed,europe,3,0.62,1
events,manufacturing,1,59904.0,NA,africa,6,0.83,1
social_media,technology,0,51283.0,NA,middle_east,2,0.57,0
social_media,NA,5,62975.0,student,europe,4,0.62,1
referral,healthcare,4,38648.0,unemployed,south_america,2,0.86,1
paid_ads,other,3,59866.0,student,australia,3,0.43,1
paid_ads,retail,2,79276.0,employed,middle_east,2,0.92,1
organic_search,finance,4,80304.0,self_employed,NA,3,0.97,1
organic_search,NA,2,55615.0,self_employed,middle_east,6,0.71,1
social_media,other,3,55438.0,NA,middle_east,1,0.69,0
paid_ads,healthcare,3,0.0,unemployed,middle_east,4,0.75,1
referral,healthcare,2,56004.0,student,middle_east,0,0.64,0
referral,retail,0,54612.0,self_employed,europe,4,0.86,1
referral,other,2,92470.0,unemployed,europe,4,0.74,1
referral,manufacturing,2,74380.0,self_employed,NA,5,0.51,1
paid_ads,NA,2,62809.0,self_employed,europe,5,0.33,1
social_media,technology,4,62067.0,student,north_america,4,0.43,1
social_media,retail,2,56594.0,student,europe,1,0.2,0
referral,other,3,72729.0,student,middle_east,3,0.6,1
events,retail,1,94862.0,unemployed,africa,5,0.49,1
organic_search,education,0,68182.0,employed,south_america,4,0.55,1
organic_search,finance,0,51159.0,employed,europe,1,0.68,0
referral,healthcare,2,46268.0,employed,north_america,3,0.63,1
social_media,other,3,63133.0,unemployed,north_america,3,0.82,1
referral,other,2,57767.0,student,europe,3,0.2,1
referral,finance,1,73420.0,unemployed,NA,3,0.48,1
paid_ads,finance,4,60617.0,self_employed,north_america,0,0.54,1
events,other,1,66476.0,self_employed,africa,0,0.46,0
referral,NA,5,43704.0,employed,australia,4,0.26,1
events,healthcare,3,54547.0,employed,africa,3,0.9,1
events,other,3,59157.0,student,south_america,2,0.79,0
organic_search,NA,4,63220.0,unemployed,north_america,4,0.21,1
organic_search,healthcare,1,54186.0,NA,north_america,2,0.87,0
NA,other,1,51207.0,student,middle_east,0,0.52,0
social_media,healthcare,5,85005.0,NA,asia,0,0.49,1
NA,other,5,67314.0,NA,europe,2,0.87,1
social_media,healthcare,1,78509.0,student,north_america,5,0.75,1
NA,manufacturing,6,59886.0,employed,asia,5,0.82,1
paid_ads,retail,2,65854.0,employed,africa,3,0.81,1
social_media,healthcare,1,61602.0,student,middle_east,5,0.06,0
social_media,technology,3,63854.0,employed,africa,1,0.1,0
social_media,education,2,47767.0,unemployed,europe,1,0.02,0
social_media,education,2,60886.0,student,asia,1,0.15,0
NA,other,2,57246.0,self_employed,asia,1,0.27,1
events,NA,4,40529.0,student,north_america,5,0.21,1
events,NA,3,53077.0,unemployed,north_america,4,0.08,1
referral,NA,4,92215.0,employed,australia,4,0.57,1
organic_search,technology,2,72662.0,employed,NA,2,0.76,1
social_media,other,1,74649.0,self_employed,australia,2,0.88,0
organic_search,retail,1,84336.0,student,australia,4,0.11,0
organic_search,retail,2,66775.0,unemployed,europe,2,0.32,0
events,education,1,64885.0,student,middle_east,4,0.91,1
events,other,1,82434.0,unemployed,north_america,7,0.57,1
social_media,healthcare,2,68420.0,self_employed,europe,3,0.79,1
NA,technology,1,0.0,student,north_america,3,0.15,0
NA,other,3,75502.0,student,africa,5,0.42,1
referral,technology,3,73015.0,self_employed,australia,4,0.95,1
referral,education,2,53240.0,student,middle_east,4,0.11,1
NA,retail,4,34479.0,student,africa,0,0.85,1
referral,finance,2,49506.0,unemployed,middle_east,1,0.71,1
events,retail,3,37911.0,self_employed,europe,3,0.34,1
organic_search,other,1,58631.0,unemployed,middle_east,3,0.78,1
NA,finance,0,34760.0,self_employed,north_america,4,0.06,0
referral,NA,1,79759.0,unemployed,north_america,2,0.97,1
paid_ads,other,1,61707.0,self_employed,europe,5,0.13,1
organic_search,healthcare,4,69608.0,NA,australia,2,0.49,1
events,retail,2,0.0,employed,south_america,2,0.11,1
organic_search,technology,2,57214.0,employed,north_america,4,0.23,1
events,other,0,0.0,student,south_america,7,0.98,1
events,other,1,75589.0,self_employed,south_america,4,0.95,1
organic_search,education,3,59985.0,unemployed,middle_east,5,0.7,1
referral,finance,4,73219.0,student,asia,2,0.7,1
social_media,education,0,37766.0,employed,africa,3,0.86,1
referral,manufacturing,5,39588.0,self_employed,africa,3,0.02,1
paid_ads,other,3,93572.0,student,africa,4,0.9,1
referral,finance,0,0.0,self_employed,middle_east,2,0.18,0
referral,other,3,60711.0,student,north_america,5,0.57,1
social_media,education,3,66807.0,unemployed,asia,4,0.82,1
events,healthcare,2,99183.0,self_employed,europe,1,0.19,0
paid_ads,technology,1,82346.0,student,africa,2,0.6,0
organic_search,education,2,64912.0,employed,africa,4,0.55,1
organic_search,finance,3,81171.0,unemployed,north_america,4,0.51,1
organic_search,manufacturing,2,69458.0,self_employed,asia,4,0.62,1
NA,healthcare,0,44818.0,self_employed,north_america,3,0.68,0
organic_search,other,2,65831.0,self_employed,south_america,2,0.72,1
organic_search,finance,2,54427.0,student,middle_east,5,0.43,1
events,other,3,52293.0,unemployed,middle_east,6,0.12,1
organic_search,NA,0,63020.0,employed,north_america,2,0.37,0
social_media,retail,2,59710.0,unemployed,south_america,4,1.0,1
paid_ads,finance,1,79662.0,self_employed,NA,2,0.21,0
referral,other,0,64888.0,employed,middle_east,3,0.38,1
NA,finance,1,72357.0,self_employed,north_america,0,0.61,0
organic_search,other,0,0.0,employed,europe,1,0.06,0
referral,finance,1,63967.0,self_employed,north_america,5,0.04,1
referral,NA,1,56659.0,employed,asia,4,0.75,1
events,technology,3,72023.0,unemployed,NA,3,0.69,1
paid_ads,other,0,50063.0,student,south_america,2,0.5,0
organic_search,manufacturing,1,51409.0,employed,australia,3,0.35,1
paid_ads,other,0,81146.0,employed,africa,1,0.18,0
paid_ads,other,1,60601.0,student,north_america,1,0.08,0
organic_search,education,1,72160.0,unemployed,asia,4,0.48,1
events,education,2,51421.0,NA,australia,2,0.24,1
referral,education,0,0.0,employed,australia,1,0.71,1
organic_search,NA,3,69618.0,self_employed,asia,2,0.92,1
NA,manufacturing,2,50595.0,employed,australia,3,0.51,1
events,education,1,69639.0,employed,africa,3,0.87,1
organic_search,manufacturing,2,60176.0,NA,asia,6,0.3,0
referral,manufacturing,3,95892.0,employed,south_america,2,0.79,1
events,finance,2,53783.0,NA,asia,1,0.1,0
organic_search,other,1,57920.0,self_employed,australia,0,0.92,1
organic_search,technology,2,39103.0,self_employed,africa,3,0.6,1
referral,other,1,48369.0,self_employed,australia,2,0.58,1
paid_ads,NA,3,75264.0,employed,europe,2,0.96,1
organic_search,healthcare,2,77352.0,unemployed,europe,2,0.22,0
organic_search,finance,1,91403.0,self_employed,africa,5,0.0,1
organic_search,education,3,59641.0,student,asia,4,0.63,1
social_media,finance,1,45043.0,employed,europe,4,0.44,1
events,healthcare,4,82646.0,self_employed,australia,3,0.35,1
organic_search,technology,2,73466.0,student,north_america,3,0.0,1
